block,q_raw_u+,p_lensed_u+
0,10.902382,1.8100134
1,10.876532,1.5820506
2,12.426403,2.2955394
3,13.149958,2.639647
4,13.46163,2.44701
5,13.925459,1.9387858
6,17.742367,3.1940951
7,18.351555,2.414861
8,18.744698,2.2772892
9,20.628729,2.2807283
10,26.423126,2.979652
11,-47.793888,5.433897
