block,p_post_u+,p_post_u0,qa_u+,qm_u+,qa_u0,qm_u0,cancel_u+,cancel_u0
0,1.5946247378985088,3.4223265250523887,5.744922955830892,4.889015515645345,2.3083238005638123,0.21416428685188293,0.0,0.15194989244143167
1,1.8397935430208843,4.22261102994283,1.256452093521754,-0.33896297464768094,1.7255565921465557,0.7013515308499336,0.4292426606019338,0.06481359402338664
2,1.9955129424730937,5.22825841108958,1.029784287015597,0.08019636012613773,0.011776968836784363,-0.053591844936211906,0.1367051601409912,0.31276167432467145
3,2.026117185751597,6.018624464670817,0.5065152247746786,-0.002000632385412852,0.21134933332602182,-0.7856088988482952,0.3576932450135549,0.20879866679509482
4,1.84526260693868,6.693019350369771,0.40141793092091876,0.269612322251002,0.16727370023727417,0.27240827679634094,0.2633274793624878,0.39634902278582257
5,1.5749085942904155,7.626965840657552,0.5178976288686196,0.16173874586820602,1.8899210691452026,2.868050972620646,0.15697785218556723,0.0
6,1.635785053173701,8.93635606765747,1.0581150998671849,0.23356042802333832,3.066760778427124,7.3597002029418945,0.27089470624923706,0.0
7,1.5393621027469635,9.010568698247274,0.6518765563766161,-0.09570686270793279,1.978141039609909,5.426581343015035,0.2193609376748403,0.0
8,1.5171812176704407,9.307734171549479,0.4257723068197568,0.09565099080403645,2.71962704261144,5.935949007670085,0.2779434820016225,0.0
9,1.9115209778149922,8.83494750658671,0.7981895556052526,0.7522778958082199,4.194744944572449,8.93172021706899,0.0,0.0
10,3.4666290283203125,8.110650777816772,1.500774343808492,3.133400877316793,10.86363116900126,21.92067591349284,0.0,0.0
11,6.246073563893636,8.547480344772339,-61.969581604003906,-7.962653160095215,2.6634907722473145,5.891610860824585,0.0,0.08557494481404622
