pair,class,curve_height,readout_drop,onplane,old_real,old_rand
good/bad,false_binary,0.27089276909828186,0.18849775195121765,0.8833333333333332,0.8666666666666666,0.9444444444444445
heads/tails,true_binary,0.17909322679042816,0.13324110209941864,0.5625,0.9166666666666666,0.8083333333333335
even/odd,true_binary,-0.009542064741253853,-0.01965494640171528,0.7777777777777778,1.0,1.0
true/false,true_binary,0.21953752636909485,0.15526840090751648,0.5833333333333333,0.7291666666666666,0.9166666666666669
hot/cold,scalar,0.2081916183233261,0.14170168340206146,0.9791666666666666,1.0,0.9916666666666667
alive/dead,field_test,0.17753386497497559,0.13032782077789307,0.8541666666666666,0.9166666666666667,0.8722222222222221
